generation,trait_mean,trait_var,trait_std,breeding_value_mean,breeding_value_var,selection_proportion,n_parents,genetic_gain,cumulative_gain,inbreeding_coeff,selection_intensity,response_to_selection,episode
1,1.375769019126892,1.3533211946487427,1.1633232831954956,2.862295389175415,0.6922258138656616,0.1,20,1.350848587229848,1.350848587229848,,,,1
2,2.432262659072876,1.1008148193359375,1.0491971969604492,3.9500319957733154,0.5399734973907471,0.1,20,1.0564936399459839,2.407342227175832,,,,1
3,3.31197190284729,1.1473122835159302,1.0711266994476318,4.844141006469727,0.5399201512336731,0.1,20,0.8797092437744141,3.287051470950246,,,,1
4,4.509560585021973,1.2268882989883423,1.1076499223709106,5.978296279907227,0.5922915935516357,0.1,20,1.1975886821746826,4.4846401531249285,,,,1
5,5.226240634918213,0.9998518228530884,0.9999259114265442,6.768772602081299,0.45591050386428833,0.1,20,0.7166800498962402,5.201320203021169,,,,1
6,6.195982933044434,0.829754650592804,0.9109086990356445,7.643276691436768,0.43920624256134033,0.1,20,0.9697422981262207,6.171062501147389,,,,1
7,6.8841552734375,0.6884735822677612,0.8297430872917175,8.40429401397705,0.3499961495399475,0.1,20,0.6881723403930664,6.859234841540456,,,,1
8,7.602586269378662,0.4451327919960022,0.6671827435493469,9.146658897399902,0.2512210011482239,0.1,20,0.7184309959411621,7.577665837481618,,,,1
9,8.312039375305176,0.49485155940055847,0.7034568786621094,9.825397491455078,0.2513733208179474,0.1,20,0.7094531059265137,8.287118943408132,,,,1
10,8.940167427062988,0.3741074502468109,0.6116432547569275,10.468887329101562,0.19274437427520752,0.1,20,0.6281280517578125,8.915246995165944,,,,1
11,9.41696548461914,0.4281699061393738,0.6543469429016113,10.961665153503418,0.20113705098628998,0.1,20,0.47679805755615234,9.392045052722096,,,,1
12,10.041357040405273,0.2831321358680725,0.5321016311645508,11.566192626953125,0.140452578663826,0.1,20,0.6243915557861328,10.01643660850823,,,,1
13,10.555647850036621,0.28210124373435974,0.5311320424079895,12.070094108581543,0.1436452865600586,0.1,20,0.5142908096313477,10.530727418139577,,,,1
14,10.944534301757812,0.29432883858680725,0.5425208210945129,12.443695068359375,0.14567831158638,0.1,20,0.3888864517211914,10.919613869860768,,,,1
15,11.37431526184082,0.21403126418590546,0.4626351296901703,12.89029598236084,0.12220491468906403,0.1,20,0.4297809600830078,11.349394829943776,,,,1
16,11.695944786071777,0.23208674788475037,0.4817538261413574,13.19846248626709,0.10731694102287292,0.1,20,0.32162952423095703,11.671024354174733,,,,1
17,12.15761947631836,0.18329598009586334,0.4281308054924011,13.637569427490234,0.09609851986169815,0.1,20,0.46167469024658203,12.132699044421315,,,,1
18,12.52248764038086,0.16729551553726196,0.40901774168014526,14.038508415222168,0.0950784683227539,0.1,20,0.3648681640625,12.497567208483815,,,,1
19,12.896075248718262,0.15533991158008575,0.3941318392753601,14.41443920135498,0.07892942428588867,0.1,20,0.37358760833740234,12.871154816821218,,,,1
20,13.260160446166992,0.20528145134449005,0.4530799686908722,14.770289421081543,0.0868670642375946,0.1,20,0.36408519744873047,13.235240014269948,,,,1
