generation,trait_mean,trait_var,trait_std,breeding_value_mean,breeding_value_var,selection_proportion,n_parents,genetic_gain,cumulative_gain,inbreeding_coeff,selection_intensity,response_to_selection,replicate,seed
1,1.4364686012268066,1.4304367303848267,1.1960086822509766,-0.19024889171123505,0.8176699876785278,0.1,20,1.4830367229878902,1.4830367229878902,,,,1,3009
2,2.4057083129882812,2.020867109298706,1.4215720891952515,0.6742826104164124,0.986143946647644,0.1,20,0.9692397117614746,2.452276434749365,,,,1,3009
3,3.6841561794281006,2.5416948795318604,1.5942693948745728,1.9328093528747559,1.1602489948272705,0.1,20,1.2784478664398193,3.730724301189184,,,,1,3009
4,4.856429576873779,1.6476624011993408,1.2836130857467651,3.1584410667419434,0.7256478071212769,0.1,20,1.1722733974456787,4.902997698634863,,,,1,3009
5,5.705556392669678,1.5152820348739624,1.2309678792953491,3.993000030517578,0.7085233926773071,0.1,20,0.8491268157958984,5.752124514430761,,,,1,3009
6,6.791753768920898,0.844674825668335,0.9190618991851807,5.130877494812012,0.5588444471359253,0.1,20,1.0861973762512207,6.838321890681982,,,,1,3009
7,7.693939208984375,0.9556682705879211,0.9775828719139099,6.034560203552246,0.4306132197380066,0.1,20,0.9021854400634766,7.740507330745459,,,,1,3009
8,8.585054397583008,0.6472341418266296,0.804508626461029,6.9451799392700195,0.3730315864086151,0.1,20,0.8911151885986328,8.631622519344091,,,,1,3009
9,9.485021591186523,0.9525694847106934,0.9759966731071472,7.78542947769165,0.46426859498023987,0.1,20,0.8999671936035156,9.531589712947607,,,,1,3009
10,10.3495454788208,0.8675497174263,0.9314234852790833,8.645042419433594,0.4956396222114563,0.1,20,0.8645238876342773,10.396113600581884,,,,1,3009
11,11.125044822692871,0.6904648542404175,0.8309421539306641,9.495458602905273,0.3139079213142395,0.1,20,0.7754993438720703,11.171612944453955,,,,1,3009
12,11.960776329040527,0.49782848358154297,0.7055696249008179,10.263751029968262,0.2332601696252823,0.1,20,0.8357315063476562,12.007344450801611,,,,1,3009
13,12.502918243408203,0.39751747250556946,0.6304898858070374,10.786810874938965,0.2052696794271469,0.1,20,0.5421419143676758,12.549486365169287,,,,1,3009
14,13.06941032409668,0.36301326751708984,0.6025058031082153,11.365728378295898,0.1621991991996765,0.1,20,0.5664920806884766,13.115978445857763,,,,1,3009
15,13.609169960021973,0.26151716709136963,0.5113874673843384,11.943330764770508,0.15311260521411896,0.1,20,0.539759635925293,13.655738081783056,,,,1,3009
16,14.055386543273926,0.299479603767395,0.5472472906112671,12.369908332824707,0.1625051647424698,0.1,20,0.4462165832519531,14.10195466503501,,,,1,3009
17,14.466462135314941,0.19003337621688843,0.4359281659126282,12.803572654724121,0.08864831924438477,0.1,20,0.4110755920410156,14.513030257076025,,,,1,3009
18,14.85100269317627,0.17947979271411896,0.4236505627632141,13.149930953979492,0.09293018281459808,0.1,20,0.3845405578613281,14.897570814937353,,,,1,3009
19,15.213475227355957,0.1799374222755432,0.42419031262397766,13.558853149414062,0.0866793841123581,0.1,20,0.3624725341796875,15.26004334911704,,,,1,3009
20,15.610363006591797,0.14262400567531586,0.37765592336654663,13.962206840515137,0.07631931453943253,0.1,20,0.39688777923583984,15.65693112835288,,,,1,3009
21,16.004484176635742,0.1069098562002182,0.3269707262516022,14.328144073486328,0.052626095712184906,0.1,20,0.3941211700439453,16.051052298396826,,,,1,3009
22,16.282875061035156,0.1408759355545044,0.3753344416618347,14.61889362335205,0.06694766879081726,0.1,20,0.27839088439941406,16.32944318279624,,,,1,3009
23,16.60308837890625,0.0718461349606514,0.2680412828922272,14.90532112121582,0.03582848608493805,0.1,20,0.32021331787109375,16.649656500667334,,,,1,3009
24,16.80975341796875,0.05726005509495735,0.2392907291650772,15.117420196533203,0.027742328122258186,0.1,20,0.2066650390625,16.856321539729834,,,,1,3009
25,16.94618034362793,0.05343221127986908,0.23115408420562744,15.269198417663574,0.024000301957130432,0.1,20,0.1364269256591797,16.992748465389013,,,,1,3009
26,17.157344818115234,0.03440473601222038,0.1854851394891739,15.467376708984375,0.016609221696853638,0.1,20,0.2111644744873047,17.203912939876318,,,,1,3009
